Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Gates,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count,Variability of Implementation of the Highest Bit of Product,"[Sum of All Gates, Sum of Used Gates by CGP]"
mult8_cgp14ep_ep13107_wc24_2_wtmcla,24,11,184,66,117,6,10,4,422,2883,77,40,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 422]"
mult8_cgp14ep_ep13107_wc24_wtmcla,23,5,186,63,109,18,7,9,420,2898,72,40,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 420]"
mult8_cgp14ep_ep13107_wc256_wtmcla,28,2,188,70,106,8,8,0,410,2885,73,36,"[0, 0, 8, 3, 5, 0, 0, 0]","[490, 410]"
mult8_cgp14ep_ep13107_wc2580_wtmcla,22,12,185,70,108,10,8,7,422,2901,72,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 422]"
mult8_cgp14ep_ep13107_wc258_wtmcla,22,9,186,67,107,12,11,4,418,2927,70,38,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep13107_wc2592_wtmcla,21,13,180,71,109,13,12,6,425,2907,71,40,"[0, 0, 7, 4, 5, 0, 0, 0]","[490, 425]"
mult8_cgp14ep_ep13107_wc260_wtmcla,30,6,186,67,112,5,12,6,424,2892,75,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 424]"
mult8_cgp14ep_ep13107_wc2632_wtmcla,23,12,184,65,117,9,8,7,425,2896,79,40,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 425]"
mult8_cgp14ep_ep13107_wc264_wtmcla,14,10,195,68,108,13,9,9,426,2882,76,36,"[0, 0, 12, 6, 1, 0, 0, 0]","[490, 426]"
mult8_cgp14ep_ep13107_wc26628_wtmcla,24,11,174,62,114,21,13,9,428,2903,74,38,"[0, 0, 3, 6, 1, 0, 0, 0]","[490, 428]"
